"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3510","Создание заказа с разными вариантами цвета","tests","2026-08-27","passed","2026-08-27","TestOrderCreate","test_order_create","",""
"","5068","Повторное создание с тем же логином - возвращает ошибку","tests","2026-08-27","passed","2026-08-27","TestCourierCreate","test_courier_create","",""
"","3511","Создание заказа с разными вариантами цвета","tests","2026-08-27","passed","2026-08-27","TestOrderCreate","test_order_create","",""
"","2883","Создание заказа с разными вариантами цвета","tests","2026-08-27","passed","2026-08-27","TestOrderCreate","test_order_create","",""
"","3128","Для создания курьера нужны все обязательные поля","tests","2026-08-27","passed","2026-08-27","TestCourierCreate","test_courier_create","",""
"","2270","Нельзя создать двух одинаковых курьеров","tests","2026-08-27","passed","2026-08-27","TestCourierCreate","test_courier_create","",""
"","10978","Курьера можно создать","tests","2026-08-27","passed","2026-08-27","TestCourierCreate","test_courier_create","",""
"","2243","Успешный запрос возвращает id","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
"","6200","Успешный запрос - возвращает код 201 и ok: true","tests","2026-08-27","passed","2026-08-27","TestCourierCreate","test_courier_create","",""
"","15750","В теле ответа возвращается список заказов","tests","2026-08-27","passed","2026-08-27","TestOrderList","test_order_list","",""
"","7036","Авторизация под несуществующим пользователем возвращает ошибку","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
"","2570","Авторизация с пустым паролем возвращает ошибку","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
"","2338","Ошибка при неверном логине или пароле","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
"","2261","Для создания курьера нужны все обязательные поля","tests","2026-08-27","passed","2026-08-27","TestCourierCreate","test_courier_create","",""
"","3369","Авторизация без логина возвращает ошибку","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
"","1925","Курьер может авторизоваться","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
"","3201","Создание заказа с разными вариантами цвета","tests","2026-08-27","passed","2026-08-27","TestOrderCreate","test_order_create","",""
"","1979","Ошибка при неверном логине или пароле","tests","2026-08-27","passed","2026-08-27","TestCourierLogin","test_courier_login","",""
